download_mbps,upload_mbps,latency_ms,download_mbps_median,upload_mbps_median,latency_ms_median,tile_count,total_tests,total_devices,country_code,country_name,year,quarter,network_type,date
15.99,14.24,22.7,14.07,11.46,12,3237,55424,18180,AM,Armenia,2019,2,fixed,2019-06-01
23.55,10.2,29,16.38,7.78,21,2479,13617,8114,AM,Armenia,2019,2,mobile,2019-06-01
54.99,24.13,37.9,NA,NA,NA,5545233,91960635,28790254,AM,Armenia,2019,3,fixed,2019-09-01
25.57,10.92,25.2,19.62,8.7,21,2731,15871,9651,AM,Armenia,2019,3,mobile,2019-09-01
58.42,26.15,34,NA,NA,NA,6497478,143024494,42096061,AM,Armenia,2019,4,fixed,2019-12-01
31.61,10.92,45,NA,NA,NA,3799244,27754262,13680994,AM,Armenia,2019,4,mobile,2019-12-01
16.88,15.71,19.4,15.02,13.67,9,3266,63445,18167,AM,Armenia,2020,1,fixed,2020-03-01
23.77,10.21,25.6,18.9,8.26,21,3015,19225,10816,AM,Armenia,2020,1,mobile,2020-03-01
18.21,16.85,18,16.35,14.61,9,3118,51636,14754,AM,Armenia,2020,2,fixed,2020-06-01
26.08,11.1,24.5,19.6,8.73,21,2695,15363,8059,AM,Armenia,2020,2,mobile,2020-06-01
19.89,18.87,15,18.39,16.92,7,2926,38823,12800,AM,Armenia,2020,3,fixed,2020-09-01
24.34,9.96,25,18.27,7.45,20,2925,17876,9650,AM,Armenia,2020,3,mobile,2020-09-01
22.47,20.76,11.9,20.8,19.12,6,2308,27390,8986,AM,Armenia,2020,4,fixed,2020-12-01
24.93,10.38,22.5,19.1,8.26,19,2091,11868,6421,AM,Armenia,2020,4,mobile,2020-12-01
23.27,22,12.6,21.45,19.71,6,2716,40634,12468,AM,Armenia,2021,1,fixed,2021-03-01
44.6,12.2,40.1,NA,NA,NA,4193475,29992738,13296053,AM,Armenia,2021,1,mobile,2021-03-01
104.6,44.46,26.9,NA,NA,NA,4335355,61834010,17028485,AM,Armenia,2021,2,fixed,2021-06-01
50.94,12.61,40.5,NA,NA,NA,4277111,29312153,12873497,AM,Armenia,2021,2,mobile,2021-06-01
92.01,41.34,27.9,NA,NA,NA,6929484,148886145,41129462,AM,Armenia,2021,3,fixed,2021-09-01
